"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"750pF";;;
2;"C1,C2";"CP_EIA-3216-10_Kemet-I_HandSolder";2;"22uF";;;
3;"C18,C16,C14,C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"1uF";;;
4;"R1,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"3K57";;;
5;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1K78";;;
6;"C9,C8,C10,C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"1600pF";;;
7;"J2";"031-5640";1;"Output";;;
8;"D2,D1";"D_SMA";2;"SMAJ12A";;;
9;"U2";"R_14_ADI";1;"ADA4177-4ARZ-RL";;;
10;"C13,C17,C11,C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"100nF";;;
11;"J1";"031-5640";1;"Input";;;
12;"R4,R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"9K09";;;
13;"R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"90K9";;;
14;"J3";"2SH-C-03-TR";1;"Power";;;
15;"C4,C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"330pF";;;
16;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"107K";;;
17;"U1";"R_8_ADI";1;"ADA4177-2ARZ";;;
18;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4700pF";;;
19;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4K64";;;
20;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"38K3";;;
21;"R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"261K";;;
22;"D3";"D_SMA";1;"SMAJ12CA";;;
